shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-WBE-B-mjp-1.1.H,-37.8183051340585,144.966964346166,1,0
2-WBE-B-mjp-1.1.H,-37.8188721495104,144.964835793452,2,197.699266564143
2-WBE-B-mjp-1.1.H,-37.8190125170199,144.964093524547,3,264.885574693106
2-WBE-B-mjp-1.1.H,-37.8193580582912,144.962709438778,4,392.643157638307
2-WBE-B-mjp-1.1.H,-37.8196732542077,144.961655624033,5,491.80464209674
2-WBE-B-mjp-1.1.H,-37.8197300154391,144.961290532529,6,524.561320805059
2-WBE-B-mjp-1.1.H,-37.8199780561883,144.960522564091,7,597.568169798835
2-WBE-B-mjp-1.1.H,-37.8213664393209,144.956917130336,8,950.437834122647
2-WBE-B-mjp-1.1.H,-37.8214809160529,144.956243699755,9,1011.07610586583
2-WBE-B-mjp-1.1.H,-37.8214930172627,144.955902548779,10,1041.14269862257
2-WBE-B-mjp-1.1.H,-37.8214778980437,144.955550788294,11,1072.15882346112
2-WBE-B-mjp-1.1.H,-37.8213497582776,144.954918133638,12,1129.64795286834
2-WBE-B-mjp-1.1.H,-37.82111392077,144.954311176005,13,1189.15425505558
2-WBE-B-mjp-1.1.H,-37.8209838709605,144.954087557086,14,1213.56736628705
2-WBE-B-mjp-1.1.H,-37.8203663626613,144.953298021051,15,1311.18908518198
2-WBE-B-mjp-1.1.H,-37.8201464343329,144.953088249621,16,1341.799540912
2-WBE-B-mjp-1.1.H,-37.8194719891349,144.952652472148,17,1425.91850429126
2-WBE-B-mjp-1.1.H,-37.8186224519219,144.951994338999,18,1536.59370476544
2-WBE-B-mjp-1.1.H,-37.8186224519219,144.951994338999,19,1536.59370476544
2-WBE-B-mjp-1.1.H,-37.8174254930872,144.951050467791,20,1693.30043723089
2-WBE-B-mjp-1.1.H,-37.8172413930842,144.950828360313,21,1721.58470847836
2-WBE-B-mjp-1.1.H,-37.816326620346,144.950047114092,22,1844.22646319509
2-WBE-B-mjp-1.1.H,-37.8161266784229,144.949950407727,23,1867.9961918431
2-WBE-B-mjp-1.1.H,-37.8156823504826,144.94979230517,24,1919.24070374438
2-WBE-B-mjp-1.1.H,-37.8154473673148,144.949753367956,25,1945.54659662031
2-WBE-B-mjp-1.1.H,-37.8139932400252,144.948532704404,26,2139.45894795462
2-WBE-B-mjp-1.1.H,-37.8127486461313,144.947442594673,27,2307.67606955643
2-WBE-B-mjp-1.1.H,-37.811337251893,144.945573372106,28,2534.90502897842
2-WBE-B-mjp-1.1.H,-37.8101694478741,144.944753831548,29,2683.25933461193
2-WBE-B-mjp-1.1.H,-37.809173571755,144.943974981477,30,2813.3439224769
2-WBE-B-mjp-1.1.H,-37.8090356857649,144.943819785398,31,2833.86220700558
2-WBE-B-mjp-1.1.H,-37.808748328157,144.943362054683,32,2885.26259610917
2-WBE-B-mjp-1.1.H,-37.8078084713592,144.942695267127,33,3004.97057412233
2-WBE-B-mjp-1.1.H,-37.8063098353473,144.94151017321,34,3201.33757746047
2-WBE-B-mjp-1.1.H,-37.8063098353473,144.94151017321,35,3201.33757746047
2-WBE-B-mjp-1.1.H,-37.8059167629412,144.941191702133,36,3253.20278738003
2-WBE-B-mjp-1.1.H,-37.805312152803,144.940629232983,37,3336.61142002678
